network,country_name,country_name
41.74.160.0/20,Africa,Rwanda
41.77.160.0/22,Africa,Rwanda
41.138.80.0/21,Africa,Rwanda
41.186.0.0/16,Africa,Rwanda
41.197.0.0/16,Africa,Rwanda
41.215.248.0/22,Africa,Rwanda
41.216.96.0/20,Africa,Rwanda
41.216.112.0/21,Africa,Rwanda
41.216.120.0/22,Africa,Rwanda
41.222.244.0/22,Africa,Rwanda
41.242.140.0/22,Africa,Rwanda
104.143.19.0/24,Africa,Rwanda
105.21.96.0/19,Africa,Rwanda
105.178.0.0/15,Africa,Rwanda
154.68.64.0/18,Africa,Rwanda
196.12.140.0/22,Africa,Rwanda
196.12.144.0/22,Africa,Rwanda
196.44.240.0/20,Africa,Rwanda
196.49.7.0/24,Africa,Rwanda
196.223.12.0/24,Africa,Rwanda
197.157.128.0/18,Africa,Rwanda
197.157.212.0/22,Africa,Rwanda
197.234.244.0/22,Africa,Rwanda
197.243.0.0/17,Africa,Rwanda
41.78.72.0/22,Africa,Somalia
41.79.196.0/22,Africa,Somalia
41.223.108.0/22,Africa,Somalia
80.78.20.233/32,Africa,Somalia
80.78.20.234/31,Africa,Somalia
80.78.20.236/30,Africa,Somalia
80.78.23.209/32,Africa,Somalia
80.78.23.210/31,Africa,Somalia
80.78.23.212/30,Africa,Somalia
80.78.23.216/32,Africa,Somalia
104.143.203.0/24,Africa,Somalia
104.167.246.0/24,Africa,Somalia
154.72.24.0/22,Africa,Somalia
154.72.48.0/22,Africa,Somalia
154.73.24.0/22,Africa,Somalia
154.73.44.0/22,Africa,Somalia
154.73.76.0/22,Africa,Somalia
154.73.124.0/22,Africa,Somalia
154.118.240.0/22,Africa,Somalia
196.11.62.0/24,Africa,Somalia
197.157.244.0/22,Africa,Somalia
197.220.64.0/19,Africa,Somalia
197.231.200.0/22,Africa,Somalia
217.20.243.1/32,Africa,Somalia
217.20.243.2/31,Africa,Somalia
217.20.243.4/30,Africa,Somalia
217.20.243.8/29,Africa,Somalia
217.20.243.16/28,Africa,Somalia
217.20.243.32/27,Africa,Somalia
5.100.160.0/21,Asia,Yemen
23.232.255.0/24,Asia,Yemen
31.31.176.0/20,Asia,Yemen
46.35.64.0/19,Asia,Yemen
46.243.149.0/24,Asia,Yemen
63.168.168.0/23,Asia,Yemen
63.171.18.0/23,Asia,Yemen
63.173.172.0/23,Asia,Yemen
65.162.184.0/23,Asia,Yemen
78.137.64.0/19,Asia,Yemen
81.91.24.0/21,Asia,Yemen
82.114.160.0/19,Asia,Yemen
89.163.199.48/29,Asia,Yemen
89.189.64.0/19,Asia,Yemen
104.166.113.0/24,Asia,Yemen
109.74.32.0/20,Asia,Yemen
109.200.160.0/19,Asia,Yemen
131.117.160.0/21,Asia,Yemen
155.254.201.0/24,Asia,Yemen
185.11.8.0/22,Asia,Yemen
185.71.132.0/22,Asia,Yemen
185.80.44.0/22,Asia,Yemen
